"CS_PRODUCT_OBJECT_TYPE__C","CATEGORY_GROUP__C","CATEGORY_LEVEL_1__C","CATEGORY_LEVEL_2__C","CATEGORY_LEVEL_3__C","CATEGORY_LEVEL_4__C","CATEGORY_LEVEL_5__C","CATEGORY_LEVEL_6__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","GLOBAL_CATEGORY_GROUP__C","GLOBAL_CATEGORY_LEVEL_1__C","ID","ISDELETED","IS_SUPERMARKET__C","JOKR_ENTITY__C","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"","Fresh Food","Dairy & Chilled","Cheese","Feta & Goats Cheese","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TOMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002006","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Cheese","Hard Cheese","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TPMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002007","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Cheese","Sliced & Grated Cheese","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TQMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002008","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Cheese","Soft & Semi Soft Cheese","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TRMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102002009","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Cooking Ingredients","Garlic & Shallots","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TSMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102003001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Cooking Ingredients","Pastes, Sauces & Marinades","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TTMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102003002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Cooking Ingredients","Pastry & Dumpling Skins","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TUMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102003003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Cooking Ingredients","Stock, Gravy & Broth","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TVMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102003004","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Desserts","Cakes","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TWMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102004001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Desserts","Jellies, Puddings & Custards","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TXMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102004002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Dairy & Chilled","Chilled Desserts","Sweet Pastries","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TYMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF102004003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
