"BRAND_OWNER__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","RECORDTYPEID","SYSTEMMODSTAMP","TYPE__C"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTSzMAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Picot","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT0MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Vitaloe","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT1MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Norteñita","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT2MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Oroweat","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT3MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Danone","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT4MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","David","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT5MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Valentina","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT6MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Vualá","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT7MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Ades","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT8MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Caprice","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTT9MAM","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Chocke-Obleas","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTAMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Clorets","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTBMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Coca-Cola","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTCMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Garnier","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTDMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Bokados","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
